Commercial Corporate Bonds,Demand Deposits,Government Securities,Guaranteed Funds,Immovable Property,Offshore Investments,Property Unit Trusts,Quoted Equity,Unquoted Equity,portfolio_mean,portfolio_sharpe_ratios
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12223577426817232,4.352926872271282
0.16369865657017071,0.037323351954361254,0.2617601090721236,0.11548723799819903,0.13480094036657772,0.18657665833941858,0.08552726052805588,0.005549911705474961,0.009275873465618324,0.06857913627844585,3.304210001742483
0.1673209462149426,0.0408296214858664,0.4506893575804349,0.157220185005154,0.0,0.0,0.0960032700304582,0.087936619683144,0.0,0.0948389662051845,4.645694601338778
0.0,0.0,0.0,0.0,0.5024885379103571,0.0795881401484131,0.0,0.0,0.4179233219412297,0.008992204658055185,0.9878232253386175
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.016618449009954666,1.7028089740829673
0.0030050340228760268,0.2458127909623071,0.05274169254404041,0.0253228737556772,0.1561044774343924,0.1403858552143119,0.2507073064872947,0.06105146368765766,0.06486850589144263,0.05258510012605403,1.7987295574587363
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06731717437528835,1.9156322561201127
0.16207800244944662,0.0,0.44738926478709723,0.1694910134915339,0.0,0.0,0.09727946033032166,0.1237622589416007,0.0,0.09225349269943145,4.607663348112222
0.0,0.0,0.0,0.0,0.0,0.2969555020199485,0.0,0.0,0.7030444979800516,0.001822368990651849,0.2892774039145309
0.0,0.0,0.0,0.0,0.0,0.0,0.22377933479795023,0.7762206652020498,0.0,0.05015052429761724,2.044639613384443
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11160214542999382,7.111582072912396
